2024-11-04 10:38:08 - Score: 1268, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6649335149312915, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:39:55 - Score: 972, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6549595122073221, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:40:59 - Score: 340, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.6451351195242122, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:42:27 - Score: 884, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.635458092731349, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:43:38 - Score: 508, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6259262213403788, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:46:23 - Score: 1616, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6165373280202731, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:47:44 - Score: 628, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.607289268099969, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:54:26 - Score: 964, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5981799290784694, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:56:37 - Score: 1596, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5892072301422924, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:58:23 - Score: 1028, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.580369121690158, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:00:25 - Score: 1316, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5716635848648056, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:02:50 - Score: 1384, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5630886310918335, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:03:57 - Score: 580, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.554642301625456, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:05:55 - Score: 1412, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5463226671010741, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:07:02 - Score: 572, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.538127827094558, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:08:36 - Score: 912, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5300559096881396, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:10:47 - Score: 1452, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5221050710428176, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:13:12 - Score: 1884, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5142734949771753, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:14:40 - Score: 800, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5065593925525177, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:16:24 - Score: 1108, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.4989610016642299, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:17:29 - Score: 544, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.49147658663926647, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:18:56 - Score: 668, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.48410443783967744, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 11:20:04 - Score: 600, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.47684287127208225, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:07:24 - Score: 564, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
